location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
5893160,"KLCC","pm25",16.51,"µg/m³","2025-11-28T13:34:39Z","2025-11-28T21:34:39+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.98,"µg/m³","2025-11-28T13:51:46Z","2025-11-28T21:51:46+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.44,"µg/m³","2025-11-28T14:08:54Z","2025-11-28T22:08:54+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.92,"µg/m³","2025-11-28T14:26:02Z","2025-11-28T22:26:02+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",15.35,"µg/m³","2025-11-28T14:43:09Z","2025-11-28T22:43:09+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.08,"µg/m³","2025-11-28T15:00:20Z","2025-11-28T23:00:20+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.21,"µg/m³","2025-11-28T15:17:27Z","2025-11-28T23:17:27+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.7,"µg/m³","2025-11-28T15:34:35Z","2025-11-28T23:34:35+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.09,"µg/m³","2025-11-28T15:51:43Z","2025-11-28T23:51:43+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.76,"µg/m³","2025-11-28T16:08:53Z","2025-11-29T00:08:53+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
